symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
AUBANK,EQ,708.9,711.6,702.7,704.2,706.6,-0.34,1478976,10434.915168,N,14-Jul-2023,Dividend - Re 1 Per Share,-0.34
IDFCFIRSTB,EQ,92.35,93.1,90.8,91.2,91.6,-0.44,30671880,28132.248336,N,23-Jul-2018,Dividend Re 0.75 Per Share,-0.44
SBIN,EQ,577.75,579.25,569.35,572.75,576.45,-0.64,11773301,67490.4479825,N,31-May-2023,Dividend - Rs 11.30 Per Share,-0.64
BANDHANBNK,EQ,240.2,244.45,237.35,238.0,239.7,-0.71,12053859,28902.7431102,N,11-Aug-2023,Annual General Meeting/Dividend - Rs 1.50 Per Share,-0.71
INDUSINDBK,EQ,1437.0,1444.0,1415.6,1421.0,1436.0,-1.04,3067148,43908.984053199994,N,02-Jun-2023,Dividend - Rs 14 Per Share,-1.04
KOTAKBANK,EQ,1773.0,1775.2,1745.1,1753.0,1771.55,-1.05,3051426,53582.1251322,N,04-Aug-2023,Dividend - Rs 1.50 Per Sh,-1.05
ICICIBANK,EQ,949.2,950.65,939.1,943.5,953.9,-1.09,11999867,113293.14432040001,N,09-Aug-2023,Dividend - Rs 8 Per Share,-1.09
FEDERALBNK,EQ,149.0,149.55,145.8,146.7,148.4,-1.15,20276110,29915.372694,N,11-Aug-2023,Annual General Meeting/Dividend - Re 1 Per Share,-1.15
AXISBANK,EQ,1010.0,1014.1,989.35,993.7,1008.05,-1.42,7818471,77962.6654236,N,07-Jul-2023,Dividend - Re 1 Per Share,-1.42
HDFCBANK,EQ,1541.2,1541.2,1518.1,1519.0,1541.2,-1.44,15606239,237934.2804179,N,16-May-2023,Dividend - Rs 19 Per Share,-1.44
BANKBARODA,EQ,207.0,208.65,203.0,204.25,207.35,-1.5,20279086,41643.103101,N,30-Jun-2023,Annual General Meeting/Dividend - Rs 5.50 Per Share,-1.5
PNB,EQ,76.75,77.25,74.05,74.15,75.8,-2.18,79048561,59800.2363965,N,23-Jun-2023,Annual General Meeting/Dividend - Rs  0.65 Per Share,-2.18
