symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
CIPLA,EQ,1185.0,1219.45,1176.15,1214.55,1173.5,3.5,7367417,88887.1493633,N,21-Jul-2023,Dividend - Rs 8.50 Per Share,3.5
SUNTV,EQ,642.45,664.8,641.85,661.0,642.45,2.89,4214220,27780.559662,N,22-Aug-2023,Interim Dividend - Rs 6.25 Per Share,2.89
GNFC,EQ,655.95,671.55,653.1,667.9,652.6,2.34,2806937,18662.762725599998,N,18-Sep-2023,Annual General Meeting/Dividend - Rs 30 Per Share,2.34
DRREDDY,EQ,5544.5,5694.75,5541.8,5665.0,5544.1,2.18,602848,34041.31944,N,11-Jul-2023,Annual General Meeting/Dividend - Rs 40 Per Share,2.18
NAUKRI,EQ,4150.0,4229.0,4150.0,4215.95,4127.55,2.14,527335,22155.347223,N,28-Jul-2023,Dividend - Rs 9 Per Share,2.14
TATAMOTORS,EQ,658.6,672.25,653.8,667.25,655.7,1.76,14905103,99077.2006616,N,28-Jul-2023,Dividend - Rs 2 Per Share,1.76
SUNPHARMA,EQ,1137.0,1161.8,1134.05,1153.15,1136.8,1.44,2178251,25120.0261822,N,28-Jul-2023,Dividend - Rs 4 Per Share,1.44
PVRINOX,EQ,1764.85,1780.8,1756.3,1771.0,1760.65,0.59,373520,6606.82176,N,09-Jul-2020,Rights 7:94 @ Premium Rs 774/-,0.59
BALRAMCHIN,EQ,422.35,428.85,420.25,423.95,421.55,0.57,1455738,6180.6268266,N,11-Aug-2023,Annual General Meeting,0.57
CUMMINSIND,EQ,1717.95,1728.8,1702.8,1722.0,1713.1,0.52,406163,6983.2823079,N,26-Jul-2023,Annual General Meeting/Dividend - Rs 13 Per Share,0.52
GODREJCP,EQ,1000.0,1006.55,996.25,1002.0,997.15,0.49,569037,5699.0193624,N,05-Feb-2020,Interim Dividend - Rs 2 Per Share,0.49
SBILIFE,EQ,1344.05,1358.6,1339.0,1355.0,1348.35,0.49,454709,6143.846124400001,N,16-Mar-2023,Interim Dividend - Rs 2.50 Per Share,0.49
ZEEL,EQ,259.5,263.6,256.0,256.75,255.65,0.43,12961725,33618.8261325,N,15-Sep-2022,Annual General Meeting/Dividend - Rs 3 Per Share,0.43
HDFCLIFE,EQ,641.65,648.45,637.75,644.4,641.8,0.41,2185973,14077.66612,N,16-Jun-2023,Dividend - Rs 1.90 Per Share,0.41
MARICO,EQ,546.3,550.5,543.65,547.6,545.6,0.37,1087928,5969.1345576,N,08-Mar-2023,Interim Dividend - Rs 4.50 Per Share,0.37
ONGC,EQ,188.0,188.05,186.05,186.85,186.25,0.32,10176712,19032.4867824,N,18-Aug-2023,Dividend - Re 0.50 Per Share,0.32
CUB,EQ,139.1,143.5,138.25,139.45,139.05,0.29,12143653,17145.6236707,N,11-Aug-2023,Dividend - Re 1 Per Share,0.29
TATACHEM,EQ,1047.0,1050.7,1032.3,1048.0,1045.3,0.26,975731,10163.5068153,N,14-Jun-2023,Annual General Meeting/Dividend - Rs 17.50 Per Share,0.26
MARUTI,EQ,10755.0,10809.85,10711.05,10775.0,10750.8,0.23,267304,28792.5434384,N,03-Aug-2023,Dividend - Rs 90 Per Share,0.23
JKCEMENT,EQ,3302.95,3328.95,3213.05,3297.1,3290.15,0.21,128399,4204.0400580000005,N,01-Aug-2023,Annual General Meeting/Dividend - Rs 15 Per Share,0.21
