symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
SYNGENE,EQ,759.8,765.0,714.0,730.0,779.4,-6.34,7319718,53548.1290008,N,30-Jun-2023,Dividend - Rs 0.50 Per Share/Special Dividend - Rs 0.75 Per Share,-6.34
BIOCON,EQ,251.5,252.0,236.7,239.15,254.9,-6.18,13078328,31585.469952800002,N,07-Jul-2023,Dividend - Rs 1.50 Per Share,-6.18
LTTS,EQ,4500.0,4539.8,4345.0,4348.0,4613.45,-5.75,824858,36362.545157199995,N,07-Jul-2023,Dividend - Rs 30 Per Share,-5.75
ABB,EQ,4298.0,4339.4,4083.05,4092.0,4283.6,-4.47,621110,25901.467109,N,25-Aug-2023,Special Dividend - Rs  5.50 Per Share,-4.47
PEL,EQ,1057.0,1057.95,1010.0,1016.35,1053.85,-3.56,1158861,11913.206966099999,N,25-Aug-2023,Buy Back,-3.56
HAVELLS,EQ,1384.0,1384.0,1335.5,1338.65,1384.05,-3.28,1968598,26580.4039156,N,02-Jun-2023,Annual General Meeting/Dividend - Rs 4.50 Per Share,-3.28
BAJFINANCE,EQ,8050.0,8084.6,7850.0,7854.0,8093.0,-2.95,1544097,122757.8732358,N,30-Jun-2023,Dividend - Rs 30 Per Share,-2.95
MCDOWELL-N,EQ,1086.0,1086.0,1050.7,1056.0,1086.4,-2.8,889457,9440.3408152,N,13-Aug-2019,Annual General Meeting,-2.8
BHEL,EQ,132.75,133.7,128.2,128.9,132.45,-2.68,25380772,33408.7101836,N,11-Aug-2023,Dividend - Re 0.40 Per Share,-2.68
SIEMENS,EQ,3595.0,3611.0,3485.0,3498.0,3593.05,-2.65,530397,18770.9089491,N,31-Jan-2023,Dividend - Rs 10 Per Share,-2.65
NMDC,EQ,165.2,166.5,160.25,161.45,165.2,-2.27,14143558,22990.353529,N,31-Aug-2023,Annual General Meeting/Dividend - Rs 2.85 Per Share,-2.27
ICICIPRULI,EQ,523.7,526.75,512.4,521.6,533.7,-2.27,4168459,21597.202924899997,N,13-Jul-2023,Dividend - Re 0.60 Per Share,-2.27
CHOLAFIN,EQ,1248.7,1248.7,1211.8,1216.95,1244.65,-2.23,1992998,24316.967197600003,N,25-Jul-2023,Annual General Meeting/Dividend - Re 0.70 Per Share,-2.23
VOLTAS,EQ,851.0,856.85,830.15,832.0,850.95,-2.23,1210097,10193.0100601,N,09-Jun-2023,Annual General Meeting/Dividend - Rs 4.25 Per Share,-2.23
AMBUJACEM,EQ,442.4,444.0,431.5,432.9,442.65,-2.2,1918566,8375.499872999999,N,07-Jul-2023,Dividend - Rs 2.50 Per Share,-2.2
HINDCOPPER,EQ,159.5,160.75,153.55,155.0,158.45,-2.18,5545031,8663.556434400001,N,22-Sep-2023,Annual General Meeting/Dividend - Re 0.92 Per Share,-2.18
PNB,EQ,76.75,77.25,74.05,74.15,75.8,-2.18,79048561,59800.2363965,N,23-Jun-2023,Annual General Meeting/Dividend - Rs  0.65 Per Share,-2.18
PFC,EQ,251.1,253.55,244.1,245.95,251.4,-2.17,8846078,21948.0041258,N,21-Sep-2023,Bonus 1:4,-2.17
GODREJPROP,EQ,1706.0,1708.1,1664.05,1671.7,1707.5,-2.1,336820,5656.622444,N,27-Jul-2015,Annual General Meeting/Dividend -  Rs 2/- Per Share,-2.1
INDUSTOWER,EQ,193.2,193.2,187.3,188.25,192.1,-2.0,7433005,14013.4443265,N,13-May-2022,Interim Dividend - Rs 11 Per Share,-2.0
