symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
CIPLA,EQ,1185.0,1219.45,1176.15,1214.55,1173.5,3.5,7367417,88887.1493633,N,21-Jul-2023,Dividend - Rs 8.50 Per Share,3.5
DRREDDY,EQ,5544.5,5694.75,5541.8,5665.0,5544.1,2.18,602848,34041.31944,N,11-Jul-2023,Annual General Meeting/Dividend - Rs 40 Per Share,2.18
TATAMOTORS,EQ,658.6,672.25,653.8,667.25,655.7,1.76,14905103,99077.2006616,N,28-Jul-2023,Dividend - Rs 2 Per Share,1.76
SUNPHARMA,EQ,1137.0,1161.8,1134.05,1153.15,1136.8,1.44,2178251,25120.0261822,N,28-Jul-2023,Dividend - Rs 4 Per Share,1.44
SBILIFE,EQ,1344.05,1358.6,1339.0,1355.0,1348.35,0.49,454709,6143.846124400001,N,16-Mar-2023,Interim Dividend - Rs 2.50 Per Share,0.49
HDFCLIFE,EQ,641.65,648.45,637.75,644.4,641.8,0.41,2185973,14077.66612,N,16-Jun-2023,Dividend - Rs 1.90 Per Share,0.41
ONGC,EQ,188.0,188.05,186.05,186.85,186.25,0.32,10176712,19032.4867824,N,18-Aug-2023,Dividend - Re 0.50 Per Share,0.32
MARUTI,EQ,10755.0,10809.85,10711.05,10775.0,10750.8,0.23,267304,28792.5434384,N,03-Aug-2023,Dividend - Rs 90 Per Share,0.23
BRITANNIA,EQ,4605.0,4623.0,4586.25,4605.0,4600.35,0.1,217139,10001.0966315,N,21-Aug-2023,Annual General Meeting,0.1
M&M,EQ,1576.6,1579.45,1561.75,1577.95,1576.6,0.09,1212456,19080.0563352,N,14-Jul-2023,Annual General Meeting/Dividend - Rs 16.25 Per Share,0.09
BAJAJ-AUTO,EQ,5150.0,5198.75,5125.65,5143.7,5141.25,0.05,360958,18646.8376094,N,30-Jun-2023,Dividend - Rs 140 Per Share,0.05
