symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
BAJFINANCE,EQ,8050.0,8084.6,7850.0,7854.0,8093.0,-2.95,1544097,122757.8732358,N,30-Jun-2023,Dividend - Rs 30 Per Share,-2.95
BAJAJFINSV,EQ,1665.0,1665.0,1622.05,1627.0,1657.65,-1.85,1229749,20098.771706199997,N,30-Jun-2023,Dividend - Rs 0.80 Per Share,-1.85
NTPC,EQ,245.9,246.8,241.6,242.35,245.95,-1.46,6986191,17006.484751300002,N,11-Aug-2023,Dividend - Rs 3 Per Share,-1.46
HDFCBANK,EQ,1541.2,1541.2,1518.1,1519.0,1541.2,-1.44,15606239,237934.2804179,N,16-May-2023,Dividend - Rs 19 Per Share,-1.44
RELIANCE,EQ,2355.25,2367.0,2321.0,2321.4,2355.25,-1.44,4456468,104366.46973879999,N,21-Aug-2023,Dividend - Rs 9 Per Share,-1.44
AXISBANK,EQ,1010.0,1014.1,989.35,993.7,1008.05,-1.42,7818471,77962.6654236,N,07-Jul-2023,Dividend - Re 1 Per Share,-1.42
TATACONSUM,EQ,912.45,915.0,892.1,895.25,907.85,-1.39,1218776,10959.7213024,N,19-May-2023,Annual General Meeting/Dividend - Rs 8.45 Per Share,-1.39
ICICIBANK,EQ,949.2,950.65,939.1,943.5,953.9,-1.09,11999867,113293.14432040001,N,09-Aug-2023,Dividend - Rs 8 Per Share,-1.09
KOTAKBANK,EQ,1773.0,1775.2,1745.1,1753.0,1771.55,-1.05,3051426,53582.1251322,N,04-Aug-2023,Dividend - Rs 1.50 Per Sh,-1.05
TECHM,EQ,1200.0,1202.0,1178.05,1185.0,1197.6,-1.05,2336910,27737.485863,N,21-Jul-2023,Annual General Meeting/Dividend - Rs  32 Per Share,-1.05
INDUSINDBK,EQ,1437.0,1444.0,1415.6,1421.0,1436.0,-1.04,3067148,43908.984053199994,N,02-Jun-2023,Dividend - Rs 14 Per Share,-1.04
GRASIM,EQ,1970.1,1990.95,1951.0,1954.55,1974.45,-1.01,582872,11466.9574304,N,11-Aug-2023,Annual General Meeting/Dividend - Rs 10 Per Share,-1.01
APOLLOHOSP,EQ,5021.0,5039.95,4938.45,4979.0,5028.8,-0.99,341453,17008.9007249,N,18-Aug-2023,Annual General Meeting/Dividend - Rs 9 Per Share,-0.99
JSWSTEEL,EQ,793.1,801.0,781.2,782.65,790.15,-0.95,1250249,9875.716851000001,N,11-Jul-2023,Annual General Meeting/Dividend - Rs 3.40 Per Share,-0.95
WIPRO,EQ,409.0,413.65,407.0,407.5,411.4,-0.95,2436006,9986.6501976,N,10-Jul-2023,Annual General Meeting,-0.95
BPCL,EQ,355.0,356.5,348.85,351.35,354.7,-0.94,4580669,16108.3806054,N,11-Aug-2023,Dividend - Rs 4 Per Share,-0.94
ADANIPORTS,EQ,808.95,809.05,795.4,798.5,805.1,-0.82,2271572,18170.304428,N,28-Jul-2023,Dividend - Rs 5 Per Share,-0.82
LTIM,EQ,5200.1,5205.0,5037.65,5172.0,5213.75,-0.8,333615,17194.850715,N,10-Jul-2023,Dividend - Rs 40 Per Share,-0.8
ADANIENT,EQ,2440.0,2441.75,2401.05,2410.0,2428.4,-0.76,776765,18775.808227,N,07-Jul-2023,Dividend - Rs 1.20 Per Share,-0.76
TITAN,EQ,3309.2,3324.15,3277.5,3283.5,3308.45,-0.75,324410,10692.261631,N,13-Jul-2023,Annual General Meeting/Dividend - Rs 10 Per Share,-0.75
