symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
ABB,EQ,4298.0,4339.4,4083.05,4092.0,4283.6,-4.47,621110,25901.467109,N,25-Aug-2023,Special Dividend - Rs  5.50 Per Share,-4.47
HAVELLS,EQ,1384.0,1384.0,1335.5,1338.65,1384.05,-3.28,1968598,26580.4039156,N,02-Jun-2023,Annual General Meeting/Dividend - Rs 4.50 Per Share,-3.28
MCDOWELL-N,EQ,1086.0,1086.0,1050.7,1056.0,1086.4,-2.8,889457,9440.3408152,N,13-Aug-2019,Annual General Meeting,-2.8
SIEMENS,EQ,3595.0,3611.0,3485.0,3498.0,3593.05,-2.65,530397,18770.9089491,N,31-Jan-2023,Dividend - Rs 10 Per Share,-2.65
ICICIPRULI,EQ,523.7,526.75,512.4,521.6,533.7,-2.27,4168459,21597.202924899997,N,13-Jul-2023,Dividend - Re 0.60 Per Share,-2.27
CHOLAFIN,EQ,1248.7,1248.7,1211.8,1216.95,1244.65,-2.23,1992998,24316.967197600003,N,25-Jul-2023,Annual General Meeting/Dividend - Re 0.70 Per Share,-2.23
AMBUJACEM,EQ,442.4,444.0,431.5,432.9,442.65,-2.2,1918566,8375.499872999999,N,07-Jul-2023,Dividend - Rs 2.50 Per Share,-2.2
PNB,EQ,76.75,77.25,74.05,74.15,75.8,-2.18,79048561,59800.2363965,N,23-Jun-2023,Annual General Meeting/Dividend - Rs  0.65 Per Share,-2.18
LICI,EQ,649.2,651.0,634.5,635.45,649.2,-2.12,872937,5593.954883400001,N,21-Jul-2023,Dividend - Rs 3 Per Share,-2.12
TRENT,EQ,2089.1,2090.4,2031.2,2046.0,2079.0,-1.59,432700,8869.44133,N,25-May-2023,Dividend - Rs 2.20 Per Share,-1.59
CANBK,EQ,376.65,378.3,370.3,371.8,377.55,-1.52,3628844,13551.917918,N,14-Jun-2023,Dividend - Rs12 Per Share,-1.52
BANKBARODA,EQ,207.0,208.65,203.0,204.25,207.35,-1.5,20279086,41643.103101,N,30-Jun-2023,Annual General Meeting/Dividend - Rs 5.50 Per Share,-1.5
IRCTC,EQ,718.35,718.5,699.1,704.0,714.6,-1.48,1689204,11938.9560312,N,18-Aug-2023,Annual General Meeting/Dividend - Rs  2 Per Share,-1.48
SHRIRAMFIN,EQ,1888.4,1890.85,1852.55,1860.55,1888.45,-1.48,504909,9446.5949355,N,16-Jun-2023,Annual General Meeting/Dividend - Rs 20 Per Share,-1.48
JINDALSTEL,EQ,694.0,705.7,682.15,683.0,692.85,-1.42,2256320,15622.75968,N,18-Aug-2023,Dividend - Rs 2 Per Sh,-1.42
TATAPOWER,EQ,257.0,257.7,251.5,253.3,256.9,-1.4,5995151,15225.8849947,N,07-Jun-2023,Annual General Meeting/Dividend - Rs 2 Per Share,-1.4
INDIGO,EQ,2592.0,2595.0,2562.05,2564.55,2599.35,-1.34,648083,16728.3832043,N,17-Aug-2023,Annual General Meeting,-1.34
SRF,EQ,2288.0,2288.0,2225.35,2245.95,2276.55,-1.34,346338,7779.5134236,N,01-Aug-2023,Interim Dividend - Rs 3.60 Per Share,-1.34
BOSCHLTD,EQ,20453.75,20499.95,20058.3,20070.0,20335.3,-1.3,18109,3659.4938835000003,N,14-Jul-2023,Annual General Meeting/Dividend - Rs 280 Per Share,-1.3
ZOMATO,EQ,114.5,115.1,109.5,112.4,113.85,-1.27,100539144,112734.5421672,N,-,-,-1.27
