symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
JPASSOCIAT,EQ,11.75,13.45,11.45,13.0,11.7,11.11,141681279,17993.522433,N,27-Sep-2023,Annual General Meeting,11.11
TIJARIA,EQ,7.6,7.6,7.6,7.6,6.95,9.35,22441,1.705516,N,20-Sep-2023,Annual General Meeting,9.35
TGBHOTELS,EQ,10.7,11.55,10.35,11.4,10.5,8.57,273349,30.3690739,N,16-Sep-2021,Annual General Meeting,8.57
MEP,EQ,13.2,14.45,13.15,14.1,13.15,7.22,3033460,423.77436200000005,N,22-Sep-2023,Annual General Meeting,7.22
PRAENG,EQ,17.0,18.25,16.45,17.7,16.55,6.95,1412055,246.827214,N,20-Sep-2023,Annual General Meeting,6.95
FCONSUMER,BE,0.85,0.85,0.75,0.85,0.8,6.25,2595198,21.0211038,N,20-Aug-2018,Annual General Meeting,6.25
GODHA,BE,0.95,0.95,0.9,0.95,0.9,5.56,2539930,23.367356,N,15-Sep-2023,Annual General Meeting,5.56
NOIDATOLL,EQ,8.6,9.55,8.5,8.85,8.4,5.36,4661592,420.4755984,N,22-Sep-2023,Annual General Meeting,5.36
SHRENIK,EQ,0.95,1.0,0.95,1.0,0.95,5.26,1276095,12.378121499999999,N,14-Sep-2021,Annual General Meeting,5.26
BLUECOAST,EQ,7.35,7.35,7.35,7.35,7.0,5.0,775,0.0569625,N,21-Sep-2023,Annual General Meeting,5.0
KSHITIJPOL,BE,6.3,6.3,6.3,6.3,6.0,5.0,100936,6.358968000000001,N,27-Oct-2022,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,5.0
GANGAFORGE,BE,8.3,8.5,7.7,8.5,8.1,4.94,1903769,159.1550884,N,20-Sep-2021,Annual General Meeting,4.94
KAVVERITEL,BE,8.7,8.7,8.7,8.7,8.3,4.82,7522,0.654414,N,22-Sep-2023,Annual General Meeting,4.82
SAMPANN,BE,17.45,17.45,16.0,17.45,16.65,4.8,28434,4.919082,N,22-Sep-2023,Annual General Meeting,4.8
INDOWIND,BE,16.25,16.45,15.15,16.45,15.7,4.78,401030,65.006963,N,18-Sep-2023,Annual General Meeting,4.78
ZENITHSTL,EQ,6.6,6.6,6.6,6.6,6.3,4.76,185695,12.25587,N,22-Sep-2023,Annual General Meeting,4.76
SUULD,BE,7.7,7.75,7.55,7.75,7.4,4.73,148733,11.511934199999999,N,22-Sep-2023,Annual General Meeting,4.73
GATECHDVR,BE,11.3,11.3,11.3,11.3,10.8,4.63,257712,29.121456000000002,N,-,-,4.63
SABEVENTS,BE,4.4,4.6,4.2,4.6,4.4,4.55,1513,0.0671772,N,18-Sep-2023,Annual General Meeting,4.55
PRAKASHSTL,BE,5.85,5.85,5.85,5.85,5.6,4.46,546025,31.9424625,N,20-Sep-2023,Annual General Meeting,4.46
