symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
LPDC,EQ,9.0,9.3,8.05,8.15,8.95,-8.94,958317,78.9653208,N,22-Sep-2023,Annual General Meeting,-8.94
VAKRANGEE,EQ,21.65,21.8,19.6,19.95,21.6,-7.64,76693039,15714.403691099998,N,01-Sep-2023,Dividend - Re 0.05 Per Share,-7.64
DANGEE,EQ,11.0,11.3,10.25,10.3,10.85,-5.07,5138419,548.2693072999999,N,22-Sep-2023,Annual General Meeting,-5.07
DNAMEDIA,BE,6.3,6.3,5.7,5.7,6.0,-5.0,851815,52.131077999999995,N,-,-,-5.0
KANANIIND,EQ,9.45,9.45,8.7,8.7,9.15,-4.92,1224801,107.6600079,N,07-Sep-2023,Annual General Meeting,-4.92
GVKPIL,BE,8.0,8.0,8.0,8.0,8.4,-4.76,3426350,274.108,N,25-Aug-2023,Annual General Meeting,-4.76
KEEPLEARN,BE,3.2,3.2,3.05,3.05,3.2,-4.69,7677,0.2356839,N,22-Sep-2023,Annual General Meeting,-4.69
IEL,BE,11.85,11.85,11.2,11.2,11.75,-4.68,175842,19.9404828,N,21-Sep-2023,Annual General Meeting,-4.68
ARSHIYA,BE,4.4,4.45,4.2,4.2,4.4,-4.55,316286,13.410526399999998,N,22-Sep-2023,Annual General Meeting,-4.55
ONELIFECAP,EQ,18.25,18.25,16.9,17.0,17.8,-4.49,79261,13.8151923,N,22-Sep-2023,Annual General Meeting,-4.49
COUNCODOS,EQ,4.6,4.6,4.35,4.35,4.55,-4.4,87552,3.8697984,N,15-Sep-2023,Annual General Meeting,-4.4
A2ZINFRA,BE,9.3,9.4,8.95,9.0,9.4,-4.26,340967,30.959803599999997,N,22-Sep-2023,Annual General Meeting,-4.26
SHANTI,EQ,18.5,19.0,18.0,18.0,18.8,-4.26,37647,6.9006951,N,22-Sep-2023,Annual General Meeting,-4.26
ALPSINDUS,BE,2.5,2.5,2.3,2.3,2.4,-4.17,34101,0.8013735000000001,N,19-Jun-2023,Annual General Meeting,-4.17
VINNY,BE,3.8,3.85,3.6,3.6,3.75,-4.0,1229677,44.8832105,N,23-Oct-2023,Extra Ordinary General Meeting,-4.0
PARSVNATH,BE,11.55,11.75,11.0,11.1,11.55,-3.9,690935,77.7301875,N,22-Sep-2023,Annual General Meeting,-3.9
SUVIDHAA,BE,5.35,5.4,4.9,4.95,5.15,-3.88,490322,24.7122288,N,20-Sep-2023,Annual General Meeting,-3.88
CYBERMEDIA,BE,19.2,19.2,18.15,18.2,18.9,-3.7,7853,1.4543755999999999,N,13-Sep-2023,Annual General Meeting,-3.7
STEELXIND,EQ,9.4,9.55,9.05,9.1,9.45,-3.7,2490264,231.0964992,N,22-Sep-2023,Annual General Meeting,-3.7
FELDVR,BE,5.25,5.4,5.15,5.2,5.4,-3.7,4173,0.216996,N,20-Aug-2018,Annual General Meeting,-3.7
