symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
GKWLIMITED,EQ,1234.7,1234.7,1182.0,1234.7,1028.95,20.0,51380,632.4158679999999,N,02-Aug-2023,Annual General Meeting,20.0
SECURCRED,EQ,17.25,20.7,17.2,20.7,17.25,20.0,2302504,436.324508,N,22-Sep-2023,Annual General Meeting,20.0
IIFLSEC,EQ,98.0,111.55,95.3,110.0,94.1,16.9,23990825,25115.9946925,N,24-Aug-2023,Annual General Meeting,16.9
SIGIND,EQ,71.9,80.75,70.8,77.5,67.7,14.48,5291929,4113.4164117,N,22-Sep-2023,Annual General Meeting/Dividend - Re 0.50 Per Share,14.48
CINEVISTA,EQ,21.25,24.45,21.15,23.3,20.5,13.66,3396897,787.7404143000001,N,02-Aug-2023,Annual General Meeting,13.66
SASTASUNDR,EQ,307.75,365.5,307.1,344.0,305.45,12.62,1027230,3554.2158,N,22-Sep-2023,Annual General Meeting,12.62
JPASSOCIAT,EQ,11.75,13.45,11.45,13.0,11.7,11.11,141681279,17993.522433,N,27-Sep-2023,Annual General Meeting,11.11
AVTNPL,EQ,83.3,92.85,83.2,91.1,82.05,11.03,5322127,4796.8330651,N,18-Aug-2023,Annual General Meeting/Dividend - Rs  0.60 Per Share,11.03
RGL,EQ,117.45,127.0,115.45,125.25,112.85,10.99,2192878,2668.732526,N,02-Aug-2023,Annual General Meeting,10.99
TEGA,EQ,857.3,952.0,856.8,946.0,857.3,10.35,460830,4192.585257,N,18-Aug-2023,Dividend - Rs 2 Per Share,10.35
DVL,EQ,269.15,302.45,269.05,295.8,268.6,10.13,864461,2530.7095775,N,13-Sep-2023,Annual General Meeting/Dividend - Rs 5 Per Share,10.13
NUCLEUS,EQ,1203.0,1317.65,1198.0,1317.65,1197.9,10.0,197176,2540.5733247999997,N,07-Jul-2023,Annual General Meeting/Dividend - Rs 10 Per Share,10.0
PENIND,EQ,113.0,123.9,113.0,123.0,111.9,9.92,10081616,12072.73516,N,15-Sep-2023,Annual General Meeting,9.92
APOLLO,EQ,66.8,76.4,66.6,73.2,66.65,9.83,18950420,13964.564498,N,22-Sep-2023,Annual General Meeting,9.83
HUHTAMAKI,EQ,305.0,323.65,300.2,311.0,283.6,9.66,5361627,16775.4585576,N,20-Apr-2023,Annual General Meeting/Dividend - Rs 2 Per Share,9.66
RADHIKAJWE,EQ,37.5,41.45,37.5,40.85,37.3,9.52,5692589,2269.0659754,N,21-Sep-2023,Annual General Meeting,9.52
PTL,EQ,40.25,44.8,40.2,44.05,40.25,9.44,2470847,1070.8650898,N,14-Jul-2023,Dividend - Rs 1.75 Per Share,9.44
SKYGOLD,EQ,644.05,711.9,587.55,708.8,647.75,9.42,1190018,7745.9461638,N,20-Sep-2023,Dividend - Re 1 Per Share,9.42
TIJARIA,EQ,7.6,7.6,7.6,7.6,6.95,9.35,22441,1.705516,N,20-Sep-2023,Annual General Meeting,9.35
TGBHOTELS,EQ,10.7,11.55,10.35,11.4,10.5,8.57,273349,30.3690739,N,16-Sep-2021,Annual General Meeting,8.57
