symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
HUDCO,EQ,83.0,83.4,79.95,80.1,89.95,-10.95,52527619,42815.2622469,N,08-Sep-2023,Dividend - Rs 3.10 Per Share,-10.95
KEYFINSERV,EQ,170.05,173.9,148.1,148.1,164.55,-10.0,242617,391.36548270000003,N,22-Sep-2023,Annual General Meeting/Dividend - Re 1 Per Share,-10.0
STCINDIA,EQ,157.7,161.5,150.3,150.3,167.0,-10.0,1299292,2016.1113963999999,N,13-Sep-2023,Annual General Meeting,-10.0
MMTC,EQ,82.95,82.95,78.4,78.4,87.1,-9.99,24993539,19809.8790114,N,01-Dec-2022,Annual General Meeting,-9.99
SHREYAS,EQ,340.0,340.0,304.1,305.4,338.6,-9.81,789875,2521.9918875,N,07-Sep-2023,Dividend - Rs 1.50 Per Share,-9.81
KIOCL,EQ,509.0,519.4,428.8,431.0,476.4,-9.53,6486178,30034.247229,N,15-Sep-2023,Annual General Meeting,-9.53
ITI,EQ,327.0,337.5,285.1,286.65,316.75,-9.5,34340320,107385.61467200001,N,21-Sep-2023,Annual General Meeting,-9.5
LPDC,EQ,9.0,9.3,8.05,8.15,8.95,-8.94,958317,78.9653208,N,22-Sep-2023,Annual General Meeting,-8.94
VAKRANGEE,EQ,21.65,21.8,19.6,19.95,21.6,-7.64,76693039,15714.403691099998,N,01-Sep-2023,Dividend - Re 0.05 Per Share,-7.64
JINDALPHOT,EQ,774.05,781.95,705.75,725.0,784.15,-7.54,117216,864.8548128,N,20-Sep-2023,Annual General Meeting,-7.54
TARMAT,EQ,94.0,94.7,84.0,86.0,92.8,-7.33,411069,359.72648189999995,N,22-Sep-2023,Annual General Meeting,-7.33
ITDC,EQ,493.0,496.6,454.5,461.45,493.65,-6.52,996541,4709.652766,N,22-Sep-2023,Annual General Meeting,-6.52
ANDREWYU,EQ,38.15,38.6,34.8,35.45,37.9,-6.46,4126177,1481.7101607,N,24-Aug-2023,Dividend - Re 0.007 Per Share,-6.46
SYNGENE,EQ,759.8,765.0,714.0,730.0,779.4,-6.34,7319718,53548.1290008,N,30-Jun-2023,Dividend - Rs 0.50 Per Share/Special Dividend - Rs 0.75 Per Share,-6.34
BIOCON,EQ,251.5,252.0,236.7,239.15,254.9,-6.18,13078328,31585.469952800002,N,07-Jul-2023,Dividend - Rs 1.50 Per Share,-6.18
JPOLYINVST,EQ,730.0,730.0,651.6,686.0,730.5,-6.09,102083,705.2914470000001,N,22-Sep-2023,Annual General Meeting,-6.09
ZENSARTECH,EQ,558.7,563.0,514.0,516.8,550.15,-6.06,4247070,22741.785729,N,21-Jul-2023,Dividend - Rs 3.50 Per Share,-6.06
CYIENT,EQ,1784.75,1786.5,1660.0,1674.0,1777.85,-5.84,447524,7644.3364536,N,12-Jun-2023,Annual General Meeting/Dividend - Rs 16 Per Share,-5.84
LTTS,EQ,4500.0,4539.8,4345.0,4348.0,4613.45,-5.75,824858,36362.545157199995,N,07-Jul-2023,Dividend - Rs 30 Per Share,-5.75
MOIL,EQ,273.35,274.45,255.15,257.6,273.3,-5.74,3017525,7922.5118875,N,08-Sep-2023,Dividend - Re 0.69 Per Share,-5.74
